CONCRETE CUBE TEST REPORT,,,,,,,,,,,,,,,,,,,,,
Report No.,,:,SMC/210128/009,,,,,    Report Date  :,,01-02-2021,,,,,,,,,,,
Name of Customer,,:,Deep Enterprise,,,,,,,,,,,,,,,,,,
Address,,,"The crest, Opp. Madhuram Posh, b/h Keshav Appartment, Tp-76-b, Chandkheda ",,,,,,,,,,,,,,,,,,
Name of Work ,,:,Residential Building,,,,,,,,,,,,,,,,,,
Letter Ref. No.,,:,-,,,,,,,,,,,,,,,,,,
Laboratory ID No.,,:,SMC-009,,,,,,,,,,,,,,,,,,
Sample Description,,:,Concrete Cube,,,,,   Grade of Concrete:,,M25,,,,,,,,,,,
Condition of Sample,,:,Satisfactory ,,,,,Identification marks:,,Column,,,,,,,,,,,
 Sample Receipt Date,,:,28-01-2021,,,,,,,,,,,,,,,,,,
Test Method,,:,IS 516 : 1959 (RA : 2004),,,,,,,,,,,,,,,,,,
Testing Start Date,,:,01-02-2021,,,,Testing Complete Date:,,,01-02-2021,,,,,,,,,,,
Temperature,,:,As per test procedure,,,,,,,,,,,,,,,,,,
Test Result,,,,,,,,,,,,,,,,,,,,,
Identification ,Date of  Casting,, Date  of Testing,Age of Testing ,Length (mm),Width (mm),Cross Sectional Area         (mm²),Weight of                Cube                          (Kg),Maximum load                     (KN),Compressive Strength (N/mm²),Average Compressive Strength (N/mm2),,,,,,,,,,

1/3,24-01-21,,01-02-21,8 Days,150.0,150.0,22500.0,8.800,525.5,23.36,20.8,,,,,,,,,,
2/3,,,,,150.0,150.0,22500.0,8.602,463.9,20.62,,,,,,,,,,,
3/3,,,,,150.0,150.0,22500.0,8.573,414.2,18.41,,,,,,,,,,,

Grade of Concrete,M10,,M15,M20,,M25,M30,M35,M40,M45,M50,,,,,,,,,,
Min. Strength     (7 Days),6,,9,12,,15,18,21,24,27,30,,,,,,,,,,
Min. Strength  (28 Days),10,,15,20,,25,30,35,40,45,50,,,,,,,,,,
Note: The above test result are related only to the test performed on the given sample .Endorsement of the product is neither inferred nor implied.                Results/Reports are not supposed to be use for publicity. This test report is not to be reproduced wholly or in part and cannot be use as an evidence without approval of SMC Lab.     ,,,,,,,,,,,,,,,,,,,,,
*** End of Report***,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,For Shri Metal Connect LLP,,,,,,,,,,,,


,,,,,,,,,Bhavik Shah,,,,,,,,,,,,
,,,,,,,,,(Technical Manager),,,,,,,,,,,,
,,,,Page  1 of 1,,,,,Authorized Signatory,,,,,,,,,,,,
















CONCRETE CUBE TEST REPORT,,,,,,,,,,,,,,,,,,,,,
Report No.,,:,SMC/210128/005,,,,,    Report Date  :,,01-02-2021,,,,,,,,,,,
Name of Customer,,:,Deep Enterprise,,,,,,,,,,,,,,,,,,
Address,,,"The crest, Opp. Madhuram Posh, b/h Keshav Appartment, Tp-76-b, Chandkheda ",,,,,,,,,,,,,,,,,,
Name of Work ,,:,Residential Building,,,,,,,,,,,,,,,,,,
Letter Ref. No.,,:,-,,,,,,,,,,,,,,,,,,
Laboratory ID No.,,:,SMC-005,,,,,,,,,,,,,,,,,,
Sample Description,,:,Concrete Cube,,,,,   Grade of Concrete:,,M25,,,,,,,,,,,
Condition of Sample,,:,Satisfactory ,,,,,Identification Mark:,,-,,,,,,,,,,,
 Sample Receipt Date,,:,28-01-2021,,,,,,,,,,,,,,,,,,
Test Method,,:,IS 516 : 1959 (RA : 2004),,,,,,,,,,,,,,,,,,
Testing Start Date,,:,01-02-2021,,,,Testing Complete Date:,,,01-02-2021,,,,,,,,,,,
Environmental Condition,,:,As per test procedure,,,,,,,,,,,,,,,,,,
Test Result,,,,,,,,,,,,,,,,,,,,,
Identification ,Date of  Casting,, Date  of Testing,Age of Testing ,Length (mm),Width (mm),Cross Sectional Area         (mm²),Weight of                Cube                          (Kg),Maximum load                     (KN),Compressive Strength (N/mm²),Average Compressive Strength (N/mm2),,,,,,,,,,

1/3,25-01-21,,01-02-21,7 Days,150.0,150.0,22500.0,8.687,355.0,15.78,17.3,,,,,,,,,,
2/3,,,,,150.0,150.0,22500.0,8.636,449.5,19.98,,,,,,,,,,,
3/3,,,,,150.0,150.0,22500.0,8.616,361.7,16.08,,,,,,,,,,,

Grade of Concrete,M10,,M15,M20,,M25,M30,M35,M40,M45,M50,,,,,,,,,,
Min. Strength     (7 Days),6,,9,12,,15,18,21,24,27,30,,,,,,,,,,
Min. Strength  (28 Days),10,,15,20,,25,30,35,40,45,50,,,,,,,,,,
Note: The above test result are related only to the test performed on the given sample .Endorsement of the product is neither inferred nor implied.                Results/Reports are not supposed to be use for publicity. This test report is not to be reproduced wholly or in part and cannot be use as an evidence without approval of SMC Lab.     ,,,,,,,,,,,,,,,,,,,,,
*** End of Report***,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,For Shri Metal Connect LLP,,,,,,,,,,,,


,,,,,,,,,Bhavik Shah,,,,,,,,,,,,
,,,,,,,,,(Technical Manager),,,,,,,,,,,,
,,,,Page  1 of 1,,,,,Authorized Signatory,,,,,,,,,,,,
















CONCRETE CUBE TEST REPORT,,,,,,,,,,,,,,,,,,,,,
Report No.,,:,SMC/210128/003,,,,,    Report Date  :,,30-01-2021,,,,,,,,,,,
Name of Customer,,:,Deep Enterprise,,,,,,,,,,,,,,,,,,
Address,,,"The crest, Opp. Madhuram Posh, b/h Keshav Appartment, Tp-76-b, Chandkheda ",,,,,,,,,,,,,,,,,,
Name of Work ,,:,Residential Building,,,,,,,,,,,,,,,,,,
Letter Ref. No.,,:,-,,,,,,,,,,,,,,,,,,
Laboratory ID No.,,:,SMC-003,,,,,,,,,,,,,,,,,,
Sample Description,,:,Concrete Cube,,,,,   Grade of Concrete:,,M25,,,,,,,,,,,
Condition of Sample,,:,Satisfactory ,,,,,Identification marks:,,-,,,,,,,,,,,
 Sample Receipt Date,,:,28-01-2021,,,,,,,,,,,,,,,,,,
Test Method,,:,IS 516 : 1959 (RA : 2004),,,,,,,,,,,,,,,,,,
Testing Start Date,,:,30-01-2021,,,,Testing Complete Date:,,,30-01-2021,,,,,,,,,,,
Temperature,,:,As per test procedure,,,,,,,,,,,,,,,,,,
Test Result,,,,,,,,,,,,,,,,,,,,,
Identification ,Date of  Casting,, Date  of Testing,Age of Testing ,Length (mm),Width (mm),Cross Sectional Area         (mm²),Weight of                Cube                          (Kg),Maximum load                     (KN),Compressive Strength (N/mm²),Average Compressive Strength (N/mm2),,,,,,,,,,

1/3,23-01-21,,30-01-21,7 Days,150.0,150.0,22500.0,8.732,444.7,19.76,18.6,,,,,,,,,,
2/3,,,,,150.0,150.0,22500.0,8.748,422.7,18.79,,,,,,,,,,,
3/3,,,,,150.0,150.0,22500.0,8.680,389.9,17.33,,,,,,,,,,,

Grade of Concrete,M10,,M15,M20,,M25,M30,M35,M40,M45,M50,,,,,,,,,,
Min. Strength     (7 Days),6,,9,12,,15,18,21,24,27,30,,,,,,,,,,
Min. Strength  (28 Days),10,,15,20,,25,30,35,40,45,50,,,,,,,,,,
Note: The above test result are related only to the test performed on the given sample .Endorsement of the product is neither inferred nor implied.                Results/Reports are not supposed to be use for publicity. This test report is not to be reproduced wholly or in part and cannot be use as an evidence without approval of SMC Lab.     ,,,,,,,,,,,,,,,,,,,,,
*** End of Report***,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,For Shri Metal Connect LLP,,,,,,,,,,,,


,,,,,,,,,Bhavik Shah,,,,,,,,,,,,
,,,,,,,,,(Technical Manager),,,,,,,,,,,,
,,,,Page  1 of 1,,,,,Authorized Signatory,,,,,,,,,,,,
















